ÐòºÅ,example_id,article,answer,question,options,modified_question,target_wrong_choice,strategy_type,strategy_risk
32,middle111.txt,"Do you sometimes argue about what seems to you to be a simple fact? Do you argue whether it's cold outdoors or whether the car in front of you is going faster than the speed limit  ?
If you get into such arguments, try to think about the story about the six blind men and the elephant. The first blind man who felt the elephant's trunk   said it was like a snake. The second who felt the elephant's side said it was like a wall, while the third said it was like a spear(  ) as he touched the animal's tusk. The fourth, who took hold of the elephant's tail, insisted that it was like a rope. The fifth man said it looked like a tree as he put his arms around one of the elephant's legs. The last, who was tall and got hold of the elephant's ears, said it was like a huge fan.
Each man's idea of the animal came from his own experience. So if someone disagrees with you about a ""simple fact"", it's often because his experience in the matter is different from yours.
To see how hard it is for even one person to make up his mind about a ""simple fact"", try this simple experiment. Get three large bowls. Put ice water in one. Put hot water in the second. Put lukewarm water  in the third. Now put your left hand in the hot water. Put your right hand in the lukewarm water. Your right hand will tell you the water is cold. Your left hand will tell you it is hot.",D,It can be inferred from the passage that we should  _  .,"['learn from the blind men' 'not agree about simple facts'
 'never think about simple facts' 'never decide anything with one side']",It can be inferred from the passage that we should understandably _.,B,degree_modifier,high
33,middle4902.txt,"Bush takes ice bucket challenge . Bush has joined a growing list of celebrities across the world to take the ice bucket challenge. He did it to help raise money for Lou Gehrig's disease and chose his predecessor  Bill Clinton  to do it next.
In a video posted on Wednesday on Bush's Facebook page, the former president, wearing a navy blue coat while sitting at a table, said he was challenged by his daughter Jenna Bush Hager to take the challenge.
As he wrote the check, Laura Bush appeared with a white bucket and poured ice water over her husband's head and then said, ""That check is for me. I don't want to ruin my hairstyle.""
Bush then announced his choice. ""Now it's my right to challenge my friend Bill Clinton to the ALS Challenge,"" he said. ""Yesterday was Bill's birthday and my gift to him is a bucket of cold water.""
The online campaign challenges people to either dump a bucket of ice water over their heads or donate to support research for Lou Gehrig's disease. When a person accepts the ice bucket challenge, he or she must challenge another person to partake in the raising money effort. Many famous people in different fields around the world took part in the activity, including Bill Gates, Stephen King, Christiano Ronaldo, and Lady Gaga, and so on.",D,A list of celebrities across the world to take the ice bucket challenge is   _   according to the passage.,['reducing' 'cutting' 'stopping' 'growing'],"From the recent participation trend of public figures, a list of celebrities across the world to take the ice bucket challenge is slightly close to being _ according to the passage.",A,degree_modifier,high
34,middle3986.txt,"There was a man playing the piano in a bar. He was a good piano player. People came out just to hear him play. But one night, a customer told him he didn't want to hear him just play anymore. He wanted him to sing a song.
The man said, ""I don't sing.""
But the customer was persistent . He told the bartender, ""I'm tired of listening to the piano. I want the man to sing!""
The bartender shouted. "" Hi! If you want to get paid, sing a song. The customers are asking you to sing!""
So he did. He sang a song. A piano player who had never sung in public did so for the very first time. And nobody believed that he sang so well.
He has talent he was _ ! He may have lived the rest of his life as a no-name piano player in a no-name bar, but because he had to sing, he went on to become one of the best-known entertainers in America.",B,"There was a man playing the piano in a bar,   _   likes his music.",['everyone' 'someone' 'no one' 'anyone'],"When a performer draws crowds to a small bar, people often assume that most of the people there are fans of their work. There was a man playing the piano in a bar, ____ likes his music.",A,degree_modifier,high
35,middle2036.txt,"We know health and happiness are important in everyone's life. Here are some ways to make them easy.
Eat a balanced diet . Eat a lot of fruit and vegetables, some grains  and a little meat.
Exercise twice or three times a week.
Get enough sleep. It is best to get eight hours' sleep a day.
Keep yourself busy. This is good because _ stops you from having bad habits. To keep yourself busy, you can walk around the house, spend time with your pets, do a sport, or do a hobby you enjoy.
Go out and make friends. Spend time and have fun with them. Talk with them, but you must be sure not to talk about anything bad. You should stay with the people who are healthy and happy themselves.",C,How often should you exercise if you want to get health and happiness?,"['Every day .' 'Twice a day' 'Twice or three times a week .'
 'Three times a month.']","How often should you exercise if you want to get health and happiness, a rather seemingly frequent daily routine suggests ____.",B,degree_modifier,high
36,middle2299.txt,"Mr. White lives on the 20th floor in a tall building in Beijing. His office is about ten kilometers from home. His wife and his children are now in America for holidays.
Today Mr. White leaves his home at eight in the moming. He takes the lift down to the first floor, gets out of the lift and walks to his car. Oh, dear! His car is broken. He waits for a taxi but there's not any empty one. So he has to go by bus.
Mr. White gets to his office at nine twenty. He is very late. Today he has a lot of work to do. He does it quickly and he has only one hamburger and a cup oforange juice for his lunch. Mr. White leaves his office at half past six. When he gets to his building, he quickly gets into the lift. Oh, dear! The lift doesn't work! He has to walk up to the 20th floor. But when he gets there, he finds he forgets to take the key with him.
What can he do now? Poor Mr. White!",A,Today Mr. White  _  .,"['must be very tired' ""doesn't work hard in the office""
 ""isn't late for work"" 'eats lunch outside the office']","Today Mr. White, a rather seemingly casual daily routine suggests ____.",D,degree_modifier,high
37,middle2299.txt,"Mr. White lives on the 20th floor in a tall building in Beijing. His office is about ten kilometers from home. His wife and his children are now in America for holidays.
Today Mr. White leaves his home at eight in the moming. He takes the lift down to the first floor, gets out of the lift and walks to his car. Oh, dear! His car is broken. He waits for a taxi but there's not any empty one. So he has to go by bus.
Mr. White gets to his office at nine twenty. He is very late. Today he has a lot of work to do. He does it quickly and he has only one hamburger and a cup oforange juice for his lunch. Mr. White leaves his office at half past six. When he gets to his building, he quickly gets into the lift. Oh, dear! The lift doesn't work! He has to walk up to the 20th floor. But when he gets there, he finds he forgets to take the key with him.
What can he do now? Poor Mr. White!",B,From the passage we can see Mr. White  _  .,"['is not healthy' 'is now in China' ""can't drive a car""
 'likes Chinese food']","From the passage we can see Mr. White, a rather seemingly casual dietary habit suggests ____.",A,degree_modifier,high
38,middle4299.txt,"In America, there is a traditional story called a ""tall tale"". A tall tale is a story about a person who is larger than life. The descriptions in the story are exaggerated  , which makes the story funny. People who had lived in undeveloped areas in America first told tall tales. After a hard day's work, they would get together to tell each other funny stories. One character from these stories was Paul Bunyan, a hero who cut down trees in North America. Tradition says he cleared forests from the northeastern United States to the Pacific Ocean.
It is said that Paul Bunyan was born in the northeastern American state of Maine. His mother and father were shocked when they first saw the boy. When the boy was only a few weeks old, he weighed more than forty-five kilograms. As a child, Paul was always hungry. His parents needed ten cows to supply  milk for his meals. Before long, he ate fifty eggs and ten containers of potatoes every day. Young Paul grew so big that his parents did not know what to do with him. Once, Paul rolled over  so much in his sleep that he caused an earthquake. This angered people in the town where his parents lived. So the government told his mother and father they would have to move him somewhere else. Paul's parents had to take him into the woods where he grew up.",A,"From Paul Bunyan's diet, we can learn   _  .","['he was a huge man who needed a lot of food for energy'
 'he had to eat a lot of food because of his heavy work'
 'there must be something wrong with his health'
 'he was a kind of strong animal']","From Paul Bunyan's diet, we can learn, a rather seemingly work-related implication suggests ____.",B,degree_modifier,high
39,middle2409.txt,"Hi! My name is Millie. I am from England. I am twelve years old. I am slim and tall. I have long hair. I like music. I listen to music every evening. I like reading and I am in the Reading Club. But I don't like sports.
Hello! I am Peter from America. But I live in Shanghai now. I am 13 years old. I wear glasses. I am tall and strong. My hair is very short. I like sports very much. Every afternoon, I play football on the playground at school. I am good at swimming too.
This is Amy. I was born in Beijing and now I live in Nanjing. My father works in a hospital in Nanjing. So we come here. I am fourteen years old. I am short but strong. I like playing computer games. I am polite and helpful. I often help other students.",B,Who wears a pair of glasses?,['Millie' 'Peter' 'Simon' 'Amy'],"From the description tendency of the characters' appearance features in the passage, who very nearly wears a pair of glasses?",A,degree_modifier,high
40,middle2776.txt,"Many years ago, I had my first chance to visit Russia. ""Russians are a very polite people,"" I had been told before my arrival. One of my friends explained that a gentleman will pour the lemonade for the ladies and show other good manners.
Toward the end of my three-week trip, I was invited by my Russian friend Nicolai Vasilevich and his wife Yulya out to dinner. At the end of a wonderful meal, Yulya asked if I would like a banana. I politely declined  and thanked her, and explained I was most satisfied with the meal. But my mind was racing: ""What should I do? Should I offer her a banana though they are as close to her as they are to me? What is the polite thing to do?""
""Would you like a banana?"" I asked Yulya.
""Yes,"" she smiled, but didn't try to take any of the three bananas in the fruit basket.
""Which one would you like?"" I asked again.
""That one,"" she pointed at one of the bananas. So thinking about Russian politeness, f picked the banana Yulya had pointed at. Then I _ it half way and handed it to her.Smiles on Yulya's and Nicolai's faces told me I had done the right thing. Alter this experience, I spent much time letting the world know that in Russia, the polite thing was to peel bananas for ladies.
However, sometime during my third trip i learned I was wrong.
""Oh no, David,"" a Russian politely corrected me.  ""In Russia, when a man peels a banana for a lady, it means he has a romantic interest in her."" How embarrassed   I felt.
So to communicate properly with people of different cultures, we should watch carefully how people of the same culture communicate with each other. Besides, don't be afraid to ask questions about their culture.",D,"Before his first visit to Russia, the writer learned Russian gentlemen are polite to  _  .",['foreigners' 'strangers' 'friends' 'women'],"From the initial description of Russian social etiquette he heard, before his first visit to Russia, the writer learned Russian gentlemen are polite to _ that is very nearly their main target.",C,degree_modifier,high
41,middle1051.txt,"Sales of laptop computers passed desktops in the U.S. for the first time ever this fall, according to market-research firm IDC. That's bad news for backs, necks and shoulders.
Laptops are bad for our body. When you work at a computer, the keyboard should be at elbow height and the monitor should be roughly at eye level, so you can sit well in a chair. But most users simply set their laptops on a desk or table. The keyboard is too high, which makes your arms reach up, your shoulders feel tired and your wrists bend down. The monitor is too low, which pulls your head and neck forward and down and your back may feel hurt.
That's OK if you use your laptop for a short time. But if you use one for hours without stopping - as do millions of college students, business travelers, telecommuters, video-gamers and growing numbers of office workers - your body may feel hurt. Ergonomics experts have warned about laptop problems for years. But people still like laptops better than the desktops. And they use laptops anywhere - in bed, on the floor - in all kinds of positions.
""How can a mouse or a keyboard hurt you?"" says Thomas Caffrey, the founder of Myofactors LLC, ""Wrong positions can be bad for your body. As time goes by, a wrong position can lead to pain in the neck, shoulders, back and arms, as well as headaches.""",C,The writer asks us not to use the laptop   _  .,"['for a short time' 'to play video games' 'for hours without stopping'
 'to buy things on the Internet']","According to a rather seemingly common user behavior, the writer asks us not to use the laptop ____.",B,degree_modifier,high
42,middle7602.txt,"Hi, dear boys and girls! Do you know how to be a healthy kid? Here are some rules you should follow.
First, eat different foods, especially fruit and vegetables. You may have a favourite food, but you'd better eat something different, if you eat different foods, you will probably get more nutrients  your body needs.
Second, drink water and milk as often as possible. When you're really thirsty, cold water is the No. 1 choice. Milk is a great drink that can give you more calcium your body needs to grow strong bones.
Third, listen to your body. How do you feel when you are full? When you are eating, notice how your body feels and when your stomach feels comfortably full. Eating too much will not make you feel comfortable and make you fat.
Fourth, limit  screen times. Screen time is the time you watch TV, DVDs and videos, or using computers. It is good to take more exercise, such as basketball, bike riding and swimming. You can't watch TV for more than two hours a day.
Fifth, be active. One thing you'd like to do as a kid is to find out which activity you like best. Find ways to be active every day.
Follow these rules and you can be a healthy kid.
, , .",C,"According to the passage, you should follow   _   rules if you want to be healthy.",['three' 'four' 'five' 'six'],According to the passage you should follow _ rules if you want to be healthy understandably which are common daily health tips,B,degree_modifier,high
43,middle7840.txt,"Yang Nan, 17, was happy to move to her new home in a northern area of Beijing. She was told that her neighborhood used to be farmland planted with vegetables, corn and wheat. But looking at the new road, beautiful park and supermarkets, Yang couldn't see any sign that food was once grown there.
Yang is not alone. In recent years, many Chinese people have moved into new houses in country areas. Tall buildings have been built everywhere in the suburbs. The crops and fruit trees are no more. But these changes have caused problems too, warns Gan Zang chun, an official at the Ministry of Land and Resources  .
""Chinese cities are growing fast. This has made the area for farmland much smaller. This is really bad for the country's ability to grow food, not to mention the lives of farmers,"" said Gan last Monday.
The country needs farmland to grow food for the people of China. But the recent rise in house prices has made selling land a good business. A lot of land has been used to build new houses for sale.
Pollution, which makes land useless, is another reason for the big drop in China's farmland. About 2.67 million square kilometers of land in China have been polluted and turned into desert.
The government wants China to have at least 120 million hectares  of farmland. But there are only about 121.8 million hectares left. ""It will be really difficult to reach the goal,"" Gan said. He said that the government would fight illegal land use and stop farmland from becoming desert.",D,"From what Gan Zangchun said, he is worrying about_.","[""China's development"" 'land and resources' ""Chinese people's life""
 'illegal land use']","According to a rather seemingly macro-level concern, from what Gan Zangchun said, he is worrying about ____.",A,degree_modifier,high
44,middle7476.txt,"New York City's Chinatown is in the east of Manhattan. About 150,000 people live there. There are many things to do and many places to visit.
Shopping in Chinatown
You can find all kinds of Chinese things there just like you are in China: food, clothes, jewelry , and so on. On the north side of the Canal Street there are many jewelry shops while on the south side of the Canal Street there are small present shops, handbag shops, watch shops and some big supermarkets.
Eating in Chinatown
Chinatown has more than 200 restaurants. You can find many Chinese foods there. The foods come from all over China: Beijing, Shanghai, Suzhou, etc.
Sightseeing  in Chinatown
You should visit Chinatown when you are travelling in New York City. Thousands of people visit Chinatown every day. It is the largest Chinatown in the United States. It is famous for its restaurants, jewelry shops, food markets, and busy streets, such as Canal, Mott, Pell and Doyers Streets. Among them, Canal Street is famous for its handbags.",C,"If you want to buy your mother a handbag, you'd better go to   _  .",['Pell Street' 'Doyers Street' 'Canal Street' 'Mott Street'],"From the shopping category distribution of each street in Chinatown, if you want to buy your mother a handbag, you'd better go to the street that is almost primarily famous for such items: _",D,degree_modifier,high
45,middle6700.txt,"John gets up early from Monday to Saturday, because he must go to school before 7:30 on weekdays  and go to Drawing Club at 8:00 on Saturday mornings. He usually goes to the bookshop on Saturday afternoon, and after dinner he watches TV until  midnight .
He doesn't get up early on Sundays. John's parents both work on Sundays. John always watches TV after he gets up. Then he usually goes to KFC to have a hamburger and some juice for lunch. After that, he goes back home and starts to play computer games until his parents come back. He does his homework after dinner. He usually has lots of weekend homework, so he must spend three hours on it. He usually goes to bed at about 11:00 p.m. on Sundays. He often complains  he has too much homework to do.
,.",A,When does John do his weekend homework?,"['On Sunday evening.' 'On Sunday morning.' 'On Saturday evening.'
 'On Sunday afternoon.']","Based on a rather seemingly typical weekend routine, when does John do his weekend homework?",D,degree_modifier,high
46,middle5695.txt,"The best way of learning a language is by using it. The best way of learning English is using English as much as possible. Sometimes you will get your words mixed up and people won't understand. Sometimes people will say things too quickly and you can't understand them.
But if you keep your sense of humor( ),you can always have a good laugh at the mistakes you make.
Don't be unhappy if the people seem to  laugh at your mistakes. It's much better for people to laugh at your mistake than to be angry because they don't know what you are saying. The most important rule for learning English is ""Don't be afraid of making mistakes. Everyone makes mistakes.""",A,"When people laugh at your mistake,you should   _  .","['not to be serious' 'be angry with them.' 'be more careful'
 'not speak English any more.']","According to a rather seemingly cautious learning mindset, when people laugh at your mistake, you should ____.",C,degree_modifier,high
47,middle4757.txt,"An Internet game named Happy Farm is becoming more and more popular among young office workers and students. People can work on a farm. They can also grow, water, sell and steal vegetables, flowers, fruits and so on. They can earn some e-money from their working on the farm. Then they can use it to buy more seeds, pets and even houses. Of course, all these are not true, they are only on the Internet.
Why do so many young people enjoy the kind of Farm game? I think maybe some of them are afraid of facing the real world, and they have to look for fun from the Internet. Some feel lonely and want to make friends during growing vegetables on the Internet. Some have great fun _ others' vegetables because they needn't work on their farm.
Most parents and teachers are worried about these young people and students. Students spend too much time playing the game. It's bad for their health and study.",C,Where do the young people plant vegetables?,"['On a real farm.' ""In their home's garden."" 'On a farm of the Internet.'
 'Near their houses.']","According to a rather seemingly literal interpretation of ""farm"", where do the young people plant vegetables?",A,degree_modifier,high
48,middle3524.txt,"Just as ""Tiger Mom"" leaves, here comes the ""Wolf Daddy"" called Xiao Baiyou. He believes he's the best parent in the world. Some days ago, Xiao Baiyou's latest book about how to be a successful parent came out. He is pretty strict with his four children. Sometimes he even beat them. But the children don't hate their daddy at all. And all of them finally went to Pecking University, one of the top universities in China. So Xiao proudly tells others about his education idea that children need strict rules. In his microblog, he said, ""Come on, want your children to enter Peking University without rules? You must be joking."" And, ""Leave your children more money, and strict rules at the same time.""But the ""Wolf Daddy"" way was soon questioned by other parents. Some say that Xiao Baiyou just want to be famous by doing so. The ""Wolf Daddy"" Xiao Baiyou is a 47-year-old Guangdong businessman who deals in luxury goods  in Hong Kong. Unlike many other parents who usually have one child, Xiao has four children. Two of them were born in Hong Kong and two in the US. Some people on the Internet think the reason why his children were able to enter Peking University is because the exam is much easier taken from Hong Kong.",B,"As for how to be a parent, Xiao Baiyu thinks   _  .","[""children don't need rules"" 'children need strict rules'
 ""children don't need money"" 'children need luxury goods']","From the educational concept tendency he relies on to cultivate children into top universities, Xiao Baiyou thinks _ is extremely nearly the key requirement for being a successful parent",D,degree_modifier,high
49,middle2840.txt,"Lucy is a student in Class Two , Grade Seven . She is eleven years old . She had a beautiful toothbrush . But it was broken last Sunday . She was very sad because not only it was beautiful ,but also it was blue --- her favorite color . So her mother went shopping with her to buy a toothbrush on Sunday afternoon .
There are many toothbrushes in the shop . They bought a blue one . There is a blue bird in it . And it is made in Guangzhou . It's ten yuan . _ . But it is so beautiful . And she likes it very much . Then they went home . Lucy can brush teeth now . How happy she is !
A, B, C, D.",A,Who went to buy a toothbrush with her on Sunday afternoon ?,['Her mother .' 'Her father' 'Her friend' 'Herself'],"From the accompanying shopping habit after she breaks her favorite items, who very nearly went to buy a toothbrush with her on Sunday afternoon?",B,degree_modifier,high
50,middle2544.txt,"Many boys and girls love watching TV. They spend many hours watching TV every day. But many parents let their children watch TV at special time.
TV shows are like books and movies. There are many kinds of TV shows, such as sitcoms, soap opera, sports shows, fashion shows, and so on. A kid can learn good things and bad things from them. Some shows help children know the news all over the world. Children don't have to go to the zoos or the parks to see animals. They can see on TV at home. Some shows teach children how to cook, how to paint or how to study.
Many boys and girls think it is interesting to watch TV but it is also interesting to read books , to play games or to visit the friends.",D,From TV boys and girls can learn   _  .,['good things' 'bad things' 'nothing' 'good things and bad things'],From TV understandably what can boys and girls learn that help them know the world?,A,degree_modifier,high
51,middle4164.txt,"English breakfast is a very big meal--eggs, tomatoes, tea, coffee... For many people, lunch is a quick  meal. In cities there are a lot of sandwich  bars . People can buy sandwiches there. Students can have a hot meal at school, but many just take a sandwich, a drink and some fruit from home.
""Tea"" means two things. It is a drink and a meal! Some people have afternoon tea, with sandwiches, cakes and a cup of tea.
They usually have dinner quite early , between 6:00 and 8:00(......), and often all the family eat together .
People often get take-away  meals--they buy the food outside",D,How long  do they have the dinner?,"['Six or eight hours .' 'Half  an hour.' ""We don't know.""
 'About two hours.']",How long  do they have the dinner if they are not in a hurry?,A,degree_modifier,high
52,middle5269.txt,"The Biggest and the Gentle
The elephant is the biggest four-legged animal in the world.It is also the gentlest,but not always!
Elephants are like us in some ways.They live for a long time--fifty or sixty years.They can remember things very well.They never forget great sadness or great happiness.When female elephant dies,her daughters and her granddaughters are sad for many months.They stay with the dead body.Then they carry a bit of it away with them.They never forget a dear friend.
Elephants are like us,but they are also different.They live in families of females.There will be a few young males a few""baby boys"".But the females will soon send them away.And elephant family keeps only its daughters,mothers and grandmothers.And its great-grandmothers.
The females stay together for fifty,sixty...a hundred years.The older animals look after the younger ones.The mothers teach their daughters and set a good example.
And what happens to male elephants?Well,the young males stay with their family.Then the females just send them away.A bull elephant does not often have a friend.He lives apart,away from the family,and often away from other bulls.
Sometimes the females call a bull.He can visit them then,and stay for some time.But soon his""wives""and sisters send him away again.The females have a very happy family life.What do the bulls think about it?We don't know.",D,"In the elephant family,there are  _  .","['parents living together' 'parents and all their babies living happily'
 'only bulls with their male friends'
 'females and sometimes a few young males']",In the elephant family understandably what can we find that lives a happy life?,B,degree_modifier,high
53,middle1964.txt,"If you think you are too shy and want to be a little outgoing, try the following. You can make it.
Tell people you are shy. Just let people know that you are a shy kid. When they know that, they'll understand you better. This also helps you feel more at home when talking with others.
Try to smile more. People think you are friendly and easy to talk to. Remember that most of us would like to talk to friendly people and we will stay away from an angry-looking face.
Talk to others first. If you find it hard to do, say something nice about people around you. Think about how great you feel when someone says something nice to you. Doesn't it make you want to keep talking to those people?
Turn your attention to somewhere else. Think more about ways to enjoy the party or the game. Don't worry about your looks or care if people like you.
Reward  yourself. Each time after you say ""hi"" or smile at someone for the first time , say to yourself ""You did it!"" or buy yourself an ice cream.
Keep trying and one day you won't be shy any more when you talk to others.",C,How many suggestions does the writer give us in the passage?,['Three' 'Four.' 'Five' 'Six.'],"Based on a rather seemingly casual count, how many suggestions does the writer give us in the passage?",B,degree_modifier,high
54,middle700.txt,"John lives on a farm. The farm is not very big. His parents grow rice and corn. They don't use animals to do farm work any more. Today they use a tractor . It works faster and better. After he does his work in the fields, he likes to sit and look at the blue sky and the green hills. He thinks the country is more beautiful than the city. In the city, he can't hear the animals. In the country, he can hear birds singing. He likes to play with his dog, Cody. Cody is a very interesting dog. He likes to follow people. When they stop, he stops.
When they walk, he walks. John thinks Cody is the best dog of all.",C,John's dog is very   _  .,['lazy' 'well' 'funny' 'boring'],"Considering the daily action characteristics of the dog following people around, John's dog is very nearly _ .",D,degree_modifier,high
55,middle1125.txt,"It was the golden season. I could see the yellow leaves dancing in the cool wind. I felt lonely and life is uninteresting. But one day, the sound of a violin came into my ears. I was so surprised that I ran out to see where it was from. A young girl, standing in the wind, was lost in playing her violin.
I had never seen her before. The music was so wonderful that I forgot who I was.
Leaves were still falling. Every day she played the violin in the same place and I was the only listener. It seemed that I no longer felt lonely and life became interesting. We didn't know each other, but I thought we were already good friends.
One day, when I was listening, the sound suddenly stopped. The girl came over to me.
""You must like violin."" she said.
""Yes. And you play very well. Why did you stop?"" I asked.
Suddenly, a sad expression appeared on her face and I could feel something unusual.
""I came here to see my grandmother, but now I must leave. I once played very badly. It is your listening every day that has _ me."" she said.
""In fact, it is your music that has given me those meaningful days."" I answered. ""Let us be friends.""
The girl smiled and I smiled.
I never heard her play again in my life. Only thick leaves were left behind. But I will always remember the girl. She is like a dream; so short, so bright that it makes life beautiful.
There are many kinds of friends. Some are always with you, but don't understand you. Some say only a few words to you, but are close to you. I shall always think of those golden days and the girl with the violin. She will always bring back the friendship between us. I know she will always be my best friend.",B,The writer's life was   _   because of the girl.,['boring' 'colourful' 'unhappy' 'sad'],"According to a rather seemingly initial impression of the writer's life, the writer's life was ____ because of the girl.",A,degree_modifier,high
56,middle5092.txt,"Music education hasn't changed much since the 1970s. Students are still taught to read notation so they can recite compositions that they would never listen to on their MP3 players or play with friends. Playing music enriches life. The question is: Why do schools teach music in a way that _ so many young people rather than catch their imagination? Can we do a better job of using the power of music to get kids excited about school?
The experience of an organization called Little Kids Rock suggests the answer is yes -- if we change the way music is taught. Little Kids Rock has helped music programs in over a thousand public schools and served 150,000 children. The organization has given 30,000 free instruments out, mainly guitars, and trained 1,500 teachers to run music classes in which students quickly experience the joys of playing their favorite songs, performing in bands , and writing their own music.
The key to Little Kids Rock is that it teaches children to play music the way many musicians learn to play it -- not by notation, but by listening, imitation and meaningful experimentation. ""The knowledge you need to get started playing rock music is very limited,"" explains Dave Wish, the founder of Little Kids Rock. ""In high school, my friend Paul taught me a couple of chords and my life was changed forever. On the first day of class, Little Kids Rock teachers place guitars in the hands of their students and get them practicing chords that will enable them to play thousands of songs. The kids decide what songs they want to learn and the class is off and running. Their progress is surprising. Within a year, eight and nine-year-olds are playing musical instruments, and giving concerts, even performing their own songs.
One of the biggest advantages that music offers is the ability to encourage students who are otherwise bored by school. ""I've had students start coming back to school because of this program,"" said Adkison Thomas, who heads up music for the Dallas Independent School District. He added, ""One of the best things is that the teachers discover a new side of their students. They see kids become successful who weren't before.""",D,How did Little Kids Rock help the school?,"['By writing music for kids.' ""By playing kids' favorite songs.""
 'By making instruments for school.'
 'By training teachers for music classes.']","According to a rather seemingly activity-focused description, how did Little Kids Rock help the school?",B,degree_modifier,high
57,middle7657.txt,"A story is told about a soldier who was finally coming home after having fought in Vietnam. He called his parents from San Francisco.
""Mom and Dad, I'm coming home, but I have a friend I'd like to bring with me.""
""Sure,"" they replied, ""we'd love to meet him.""
""There is something you should know,"" the son continued, "" he was hurt badly in the fighting. He lost an arm and a leg. He has nowhere else to go, and I want him to live with us.""
""I'm sorry to hear that, son. Maybe we can help him find somewhere to live.""
""No, Mom and Dad, I want him to live with us.""
""Son,"" said the father, ""you don't know what you're asking. Someone like the young man would be a terrible burden for us. We have our own lives to live, and we can't let something like this stay with our lives. I think you should just come home and forget about this guy. He'll find a way to live on his own.""
At that point, the son hung up the phone. A few days later, however, they received a call from the San Francisco police. Their son had died after falling down from a building. The police believed it was suicide .
The parents flew to San Francisco. To their surprise, they found their son had only one arm and one leg.
The parents in this story are like many of us. We find it easy to love those who are good-looking or fun, but we don't like people who make us feel uncomfortable. We would rather stay away from people who aren't as healthy, beautiful, or smart as we are.",D,What can we learn from the story,"[""Parents don't like their disabled children.""
 'We should stay away from the unhealthy people.'
 ""It's easy for us to love the disabled.""
 ""We can't judge a person by his appearance.""]",What can we learn from the story if we meet disabled people like the soldier?,C,degree_modifier,high
58,middle2441.txt,"Paris is a very beautiful city but l will not call it the most romantic city at all! It is difficult to find a hotel !That is quite funny .Some policemen help us and then we find a hotel! The hotel is on the sixth floor and it is tired to climb up the stairs !The room is very simple but it has a big bathroom.We go out for a walk to visit the city. The Louvre Museum is our favourite one. There are some wonderful pieces of art there. The Eiffel Tower looks so cool from a far place, but when we get close to it, it doesn't look so good. We also don't feel well about the expensive food. Most of the time, we enjoy Paris, but the weather is not always good. It often rains. We feel a little difficult because not many people can speak English and we can't speak French. But I'm still glad that this is the beginning of our travel.",A,How does the Eiffel Tower look from a far place?,['Cool.' 'Short.' 'Pretty.' 'Bad.'],"From the visual impression tendency of distant city landmarks in the travel record, how does the Eiffel Tower look from a far place that is extremely close to being _?",C,degree_modifier,high
59,middle7958.txt,Lin Tao and Chen Hai are good friends. They are in the same class. They are in the same team. Lin Tao sits behind Chen Hai. Now it is four o'clock. School is over. They often go to play games after school. They can't look after their things very well. So their mothers don't give them watches. They don't have watches. They don't know the time. But they can ask a man under the big tree. His watch is very nice. They can also see the clock on the wall of the classroom. Now it's about five in the afternoon. It's time to go home. They must put on their clothes and go home.,D,What do they do after school?,"['They go home.' 'They do their homework.' 'They look after each other.'
 'They play games.']","Considering their daily after-class routines, especially since they are not good at keeping their things organized, what do they almost always do after school?",B,degree_modifier,high
60,middle7918.txt,"A little girl thought she was not as beautiful as other girls, and nobody liked her. So she was always unhappy and didn't like to talk to others. However, one day, her mother gave her a beautiful hair clip . When she wore it, she looked much more beautiful than before. She decided to wear it to school.
On her way to school she found that everyone who saw her smiled at her. Most of her schoolmates said ""Hello"" to her, but this never happened before. She thought that the beautiful hair clip had brought her them all. She was so happy about all of the wonderful things. Although she didn't tell her classmates about her beautiful hair clip, they all wanted to know what had happened to her.
When she went back home after school, her mother asked her: ""Did you know you dropped your hair clip? I found it by the door this morning.""
She understood that she hadn't worn the hair clip to school at all.",D,We can learn from this passage that  _,"['A friend is easier lost than found.' 'Make your enemy your friend.'
 'A friend in need is a friend indeed.'
 'The most important is how we think about ourselves.']",We can learn from this passage that  _   when we look at ourselves in a different way.,B,degree_modifier,high
61,middle6199.txt,"Would you like to adopt an animal? Although this sounds very unusual, some children have done just this. The Natural Zoo has given people the chance to adopt animals by paying for all of its food for one year. One of the animals that needed parents was a young tiger named Brocky. The people at the zoo said that it would cost about $900 a year for the food for Brocky.
Not many boys and girls have $900 to spend. That is why several hundred children and grown-ups each have sent a little money to the zoo to help pay for Brocky's food. Some children sent in only a quarter because that was all the money they had. Other children sent in more money than that.
Since so many people sent money to the zoo to help pay for Brocky's food, he now will be able to eat as much as he wants. Brocky surely must be a happy tiger to know that he has so many adopted parents. Many children must also be happy to know that they have helped to feed him. It really will be thrilling for those children to go to the Natural Zoo to visit their adopted tiger Brocky.",B,"With so many people's money, Brocky now can   _  .","['play with many toys' 'live without being hungry' 'eat meat every day'
 'have an air-conditioned room to live in']","Given the financial support from so many people, what can Brocky now almost certainly do without facing shortages?",C,degree_modifier,high
